Observation,T1,RH_1,T2,RH_2,T3,RH_3,T4,RH_4,T5,RH_5,T6,RH_6,T7,RH_7,T8,RH_8,T9,RH_9,T_out,Press_mm_hg,RH_out,Windspeed,Visibility,Tdewpoint,Energy
1111,22.7,37.2,21,38,23.39,37.29,22.83285714,34.94285714,20.5,42.82666667,12.53333333,9.633333333,22.06,35.754,22.7,45.36,20.2,38.66333333,12.8,760.05,62,3.5,28,5.65,70
1112,21.5,41.045,20.5,39.13333333,22.92666667,39.52666667,21.7,34.12666667,18.63333333,44.66333333,10.19,11.92666667,20.79,25.13333333,22.92666667,34.66333333,19.73,37.93333333,8.47,764.1666667,48.16666667,8,26.5,-1.92,210
1113,21.66666667,38,22.6,35.7,21.89,36.59,22,35.53,19,46.2,10.36,21.53333333,19.6,33.66333333,21.89,38.545,19.79,39.43,10.6,757.6,57,2,27,2.4,50
1114,23.29,38.53,21.67142857,38,24.29,36.2,23.1,35.09,22.04285714,43.62571429,10.39,9.59,23.39,32.79,24.89,38.6,22.6,36.19428571,11.6,760.6,63,1,40,4.67,50
1115,24,42.56,26.83,34.356,26.53,40.33333333,24.5,40.9,21.5,49.09,20.29,1,23.365,38.20875,23.39,44.23,22.6,44.09,17.7,756.9833333,63,1,21.5,10.4,250
1116,18.39,43.36333333,17.7,42.43333333,19.29,42.5,18.6,41.66333333,17.2,55.36,3.1,93.06666667,17.7,40.06,18.5,47.6,16.7,46,1.7,749.4,97,3.833333333,32.5,1.25,180
1117,24.5,36.06,24.434,34.634,24.6,33.59,24.89,34.7,24.46571429,80.11,12.23333333,1,24.29,29.7925,25.35666667,37.62666667,23.40571429,34.88,9.43,756.3,61.66666667,5,40,2.4,100
1118,23,34.86333333,21,35.22333333,23,36.09,22.63333333,33.93333333,21.39,53.26,5.66,10.6,21.5,31.496,24.1,39.36333333,20.31857143,37.2,8,765.95,68.16666667,1,40,2.33,60
1119,23.1,35,23.39,31.85666667,23,35.29,23,33.2,20.85666667,38.36333333,21.29,1,22.79,28.5,21.66666667,37.86333333,20.29,36.7,18.6,760.6,38,4.5,40,4.05,50
1120,21,37.2,18.5,40.65666667,20.39,37.26,21.6,34.46333333,20.09333333,78.8,3.73,48.4,18,31.29,21,38.12333333,17.29,35.59,4.67,748.8333333,72.66666667,3.666666667,40,0.2,100
1121,21.39,41.85,19.73,41.56,20.79,41.43333333,19.29,37.79,17.86222222,49.565,4.263333333,88.7,19.2,36.29,21.7,43.22111111,17.89,39.2,3.33,738.9333333,88.66666667,3,64,1.6,100
1122,23.1,38.7,21.2,38.7,24.1,36.55142857,23.26,36.76,21.39,40.2,9.56,14.68,23.5,33.97142857,24.6,39.06,22.6,37.59,10.1,760.6,77.5,1,40,6.3,60
1123,21.2,36,19.39,36.96666667,21.6,34.82666667,21.39,35.93,19.1,41,9.6,29.16666667,19.29,31.93,21.26,36.46666667,19.35666667,36,8.57,760.1333333,71.33333333,2,32.66666667,3.63,90
1124,21.2,38.5,18.29,43.23,22,36.79,19.6,37.73,19.39,43.76666667,6.563333333,72.43333333,19.26,32.86333333,22.39,42.23,19.6,40.86333333,6,761.3333333,94.5,3,55.83333333,5.12,70
1125,22.6,44.2,20.29,47,24.6,40.59,21.53333333,43.12666667,21.29,68.82666667,9.5,48.69333333,21.7,40.7,24.29,46.76666667,20.79,45.23,9.1,748.9,92,1,27,7.8,60
1126,20.5,36.79,17.5,40.62666667,20.2,36.79,19.5,34.9,18.7,41.79,1.7,64.8,19.79,30.73,21.73,45,18.5,40.09,2.23,766.5,88,1.666666667,43,0.433,50
1127,21.5,37.9,18.66666667,39.9,21.1,37.9,20.6,33.7,18.29,51.59,1.966666667,59.82333333,19.6,34.06,21.76,40.53,18.1,40.09,1.85,763,84.5,1,60.5,-0.5,60
1128,20.6,38.09,18.29,39.79,21,40.29,20.03333333,37.82666667,18.29,47.76,-2.826666667,80.83,18.89,32.59,21.1,42.5,18,40.925,-2.4,769.9,91,1,57.5,-3.65,20
1129,22.79,44.76,21.66666667,43.56,23.13333333,40.79,22.32333333,43.33333333,21.16,48.636,13.92666667,23.36666667,22,37.7,23.89,43.254,20.9175,41.97,13.8,750.4,83,0,40,11,100
1130,23.53333333,35.69333333,26.35666667,29.99666667,23.79,36.7,24.29,35.46666667,19.96333333,46.96333333,24.29,1,22.67142857,34.13714286,23.39,37.7,21.5,39.82142857,20.5,753.75,44.66666667,3.833333333,40,8.02,80
1131,20.92666667,36.62666667,19.6,36.26,20.5,37.29,20.1,35.12666667,18.06666667,44.96666667,4.933333333,70.03,19.2,30.63333333,21.53333333,40.4,18.39,41.4,4.47,742.4666667,83.33333333,8.333333333,37.33333333,1.78,110
1132,21.39,42.49333333,19.7,41.29666667,21.79,36.32666667,20.46333333,33.56,19.5,43.96666667,6.866666667,26.03333333,20.1,28.76,22.32333333,37.66333333,19.39,33.26,6.85,748.7,58,6.5,40,-0.9,80
1133,23.7,40.29,21,42.9,25.39,40,23.66666667,39.06,20,37.82142857,5.433333333,39.59666667,23,35.09,24.26428571,43.56428571,22.6,44.56,6.33,757.2666667,93.33333333,1,25.66666667,5.3,60
1134,20,34.62666667,16.5,38.93333333,20.29,36.56,19.1,32.73,18.38125,45.945,-0.2375,69.2125,20.7,30.66333333,22.15333333,38.0815,19.29,39.79,0.4,769,88.33333333,4.666666667,61.66666667,-1.33,380
1135,24.5,41.9,29.36,32.72333333,26.2,38.46666667,24.7225,39.7675,23.82666667,85.76666667,25.04,1,23.89,41.67,24.6,46.495,23.03333333,44.82666667,20,752.1,55.33333333,1.666666667,40,10.6,80
1136,21.2,39.59,19.39,41.59,22.1,37.59,20.6,40.09,20.39,46.56,9,57.93,20.2,34.43333333,24.29,40.76,20,38.36333333,7.97,754.5,84.33333333,4,28.66666667,5.4,120
1137,20.1,44.36333333,19.73,43.59,19.73,43.79,16.66666667,45.86333333,16.7,51.39388889,9,83.83,16.79,41.96666667,18.30111111,50.545,16.2,46,9.03,762.1,82.33333333,9.666666667,40,6.17,70
1138,23.39,35.12666667,23.5,33.254,24.2,35.0225,23.89,33.16333333,23.2,37.4,15.92666667,1,23.82333333,27.73,25.55714286,34.94285714,23,35.29,12.6,761.8,49,5,40,2.2,80
1139,21.6,40.29,18.7,44.46666667,22.79,39.29,20.29,38.5,19.89,46.59,3.693333333,55.43333333,21.7,37.5,22.39,40.59,20.2,43.9,5.57,752.0333333,97,2,24.83333333,5.07,50
1140,22.7,42.09,21.89,41.79,22.5,43.565,21.2,40.9,19.66111111,76.50555556,4.4,89.03333333,18.57777778,35.58,22.40833333,42.93055556,18.2,41.4,4.75,764.8,84.5,3.5,40,2.3,120
1141,20.6,37.76,18.7,39.09666667,20.6,37.77714286,19.29,36.59,18.29,47.25428571,4.161428571,80.53857143,18.6,32.55625,20.7,43.20714286,18.5,41.89714286,3.98,740.2119048,91.61904762,6.142857143,54.5,2.7,50
1142,19.82333333,44.5,19.5,43.82666667,19.6,43.73,16.66666667,45.79,16.67777778,51.20055556,9,84.03,16.79,41.9,18.06111111,50.61444444,16.2,46.03,9,762.2166667,82,10,40,6.1,110
1143,23.6,47.1,22.97,46.61,26,40.36333333,24.29,43.26666667,22.39,52.79,19.59666667,14.5,23.89,42.42857143,23.89,47.9,22.89,46.5,14.9,756.05,82.66666667,2.833333333,60,11.9,90
1144,22.5,41.4,22.89,38.2,23.29,39.2,23.2,38.76,21.2,42.94285714,16.2675,2.175,21.79,34.82666667,22.2,39.7,21.16666667,41.12666667,13.1,751.6,44,4,40,1,70
1145,21.89,39.7,25.06666667,34.62333333,23.29,37.53,22.23,38.5,20.2,44.53,12.19,13.86333333,20.83,36.59,22.35666667,42.29,20.29,41.5,9.63,762.8,78.66666667,5,40,6,20
1146,23.6,47.2,23.49714286,45.89714286,26,40.4,24.29,43.4,22.39,52.73,20.45666667,10.5,23.89,42.5,23.89,47.9,22.89,46.5,15.1,756.1,82,3,61,12,90
1147,21.89,39.2,19.1,43.09,22.96333333,39.09,20.7,39.4,20,48.59,6.3,65.59,20.5,34.5,23.29,45.62666667,20.39,42.79,6,754,98,1,64,5.7,50
1148,22.2,41.5,22.76,38.59,23.1,38.86333333,23.29,38.86333333,20.5,45.29,18.7,4.316,21.912,35.574,22.76,40.3,20.7,42.03,15.9,753.75,59,3,40,7.7,80
1149,22.1,40.93,19.76,44.43333333,23.29,38,22.2,39,20.79,46.82666667,11.79428571,33.93857143,21.1,35.32666667,22.1,39.4,20.5,40.56666667,7.97,750.6666667,88.33333333,1,40,6.1,70
1150,22,41.7,20.92666667,42.2,23.39,38.29,20.29,40.59,19.89,52.83333333,15.16,34.8,21.13333333,36.79,22.7,40.5,20,42.2,13,752.9333333,71.33333333,8,40,7.9,60
1151,22.1,41.9,21.5,41.26,20.6,44.03,18.5,46.59,19.235,71.43777778,8.19,99.9,16.2,44.88777778,18.6,49.9,16.1,49.09,8.1,767.4666667,95,4,61.66666667,7.33,70
1152,21.7,35.62666667,20.39,35.32666667,21.1,36.93333333,21.06666667,35.79,18,46.09,1.2,96.9,21.79,30.736,22.76,39.4,18.22333333,37.89666667,1.75,765,66.5,1.5,40,-3.95,80
1153,22.06666667,42.36333333,19.79,45.53,23.7,40.09,22.2,40.59,20.6,51.79,9.66,61.02666667,21.1,37.44,23.18571429,48.03857143,20.79,45.53,9.5,748.8,97.66666667,2,34,9.13,40
1154,23.76,43.32666667,27.52857143,33.99714286,26.2,40.73333333,24.39,41.2,21.42666667,49.29,20.09666667,1,23.2,38.59,23.39,44.4,22.6,44.23,16.7,757.3,72,1,63,11.5,90
1155,23.89,41.43333333,23.08,40.018,24.42142857,38.25714286,23.7,39.46666667,21.6,66.45,12.35428571,18.21285714,23.1,39.634,24.5,42.4,22.5,39.44,13.9,756.4333333,73.33333333,3,35.66666667,9.2,80
1156,21,45.4,20.39,44.2,20.1,45.59,21.26333333,47.46666667,19,50.09,4.933333333,91.16,17.79,45.56,19.29,52.5,16.89,46.2,5.12,737.6333333,92,5.833333333,40,3.92,370
1157,18.79,40.43333333,17.26,40.96666667,19.23,39.93333333,18.06666667,38.46666667,16.79,56.96111111,-5.433333333,83.84444444,17.37888889,33.93888889,19,43.4,16.6,39.62666667,-4.8,757.1333333,92.33333333,1,62.33333333,-5.9,40
1158,22,35.9,18.89,38.26,22.6,35.9,21,32.4,18.6,44.23,2.06,38,20,27.2,22.92666667,38.16333333,19.56666667,38.4,2.17,765.8666667,75.66666667,3.666666667,20,-1.7,60
1159,19,39.595,17.5,39.73,19.6,40.43333333,18.39,38,17,59.215,-5.58,83.30333333,17.5,33.9,19.39,44.79,16.79,41.66333333,-4.43,756.4333333,90.66666667,1,63.33333333,-5.77,50
1160,25.76,47.12666667,27.89,38.73,28.6,42.67857143,25.79,43.91666667,24.13333333,49.2,23.66333333,1,25.1,41.32666667,25.15,47.245,24.39,46.036,21.2,747.9666667,60,4.333333333,28.33333333,13.1,280
1161,22.1,43.25666667,20.6,44.36,23.06666667,39.46666667,22.42666667,41.43333333,20.79,45.156,12.70833333,36.21166667,21.1,37.66333333,23.13333333,44.4,20.5,43.03,10.1,752.1,92,1,23,8.9,250
1162,21.2,35.59,19.56666667,37,21.7,35.66333333,20.1,35.2,19.2,41.7,11.13,20.46666667,19.2,30.39,21.6,37,19.5,36.59,9.43,760.8333333,62.66666667,1.666666667,40,2.67,50
1163,22.46333333,38.96666667,19.29,44.03,23.29,39.5,19.7,40.4,20,50.2,5.59,70.43333333,21,40.29,22.89,47.7,20.03333333,43.93333333,6.3,750.2333333,90.66666667,6,40,4.87,60
1164,21.2,38.26,18.5,41.45,23.2,36.29,19.79,37.845,19.5,47.4,4.69,38.395,19.5,31.5,22.29,39.65666667,19.2,38.09,4.67,763.5666667,84.66666667,2.333333333,40,2.3,30
